,text
0,
1,Bright star! would I were steadfast as thou art
2,"Not in lone splendour hung aloft the night,"
3,"And watching, with eternal lids apart,"
4,"Like Nature’s patient sleepless Eremite,"
5,The moving waters at their priestlike task
6,"Of pure ablution round earth’s human shores,"
7,Or gazing on the new soft fallen mask
8,Of snow upon the mountains and the moors
9,"Noyet still steadfast, still unchangeable,"
10,"Pillow’d upon my fair love’s ripening breast,"
11,"To feel for ever its soft fall and swell,"
12,"Awake for ever in a sweet unrest,"
13,"Still, still to hear her tender-taken breath,"
14,And so live everor else swoon to death.
15,"Highmindedness, a jealousy for good,"
16,"A loving-kindness for the great man’s fame,"
17,"Dwells here and there with people of no name,"
18,"In noisome alley, and in pathless wood:"
19,"And where we think the truth least understood,"
20,"Oft may be found a “singleness of aim,”"
21,That ought to frighten into hooded shame
22,"A money mong’ling, pitiable brood."
23,How glorious this affection for the cause
24,"Of stedfast genius, toiling gallantly!"
25,What when a stout unbending champion awes
26,"Envy, and Malice to their native sty?"
27,"Unnumber’d souls breathe out a still applause,"
28,Proud to behold him in his country’s eye.
29,
30,As from the darkening gloom a silver dove
31,"Upsoars, and darts into the eastern light,"
32,"On pinions that nought moves but pure delight,"
33,"So fled thy soul into the realms above,"
34,Regions of peace and everlasting love;
35,"Where happy spirits, crown’d with circlets bright"
36,"Of starry beam, and gloriously bedight,"
37,Taste the high joy none but the blest can prove.
38,There thou or joinest the immortal quire
39,In melodies that even heaven fair
40,"Fill with superior bliss, or, at desire,"
41,"Of the omnipotent Father, cleav’st the air"
42,On holy message sent  What pleasure’s higher?
43,Wherefore does any grief our joy impair?
44,
45,Happy is England! I could be content
46,To see no other verdure than its own;
47,To feel no other breezes than are blown
48,Through its tall woods with high romances blent:
49,Yet do I sometimes feel a languishment
50,"For skies Italian, and an inward groan"
51,"To sit upon an Alp as on a throne,"
52,And half forget what world or worldling meant.
53,"Happy is England, sweet her artless daughters;"
54,"Enough their simple loveliness for me,"
55,Enough their whitest arms in silence clinging:
56,Yet do I often warmly burn to see
57,"Beauties of deeper glance, and hear their singing,"
