,author,text
0, Helen Hunt Jackson    ,Some flowers are withered and some joys have died; 
1, Helen Hunt Jackson    ,The garden reeks with an East Indian scent 
2, Helen Hunt Jackson    ,From beds where gillyflowers stand weak and spent; 
3, Helen Hunt Jackson    ,The white heat pales the skies from side to side; 
4, Helen Hunt Jackson    ,"But in still lakes and rivers, cool, content, "
5, Helen Hunt Jackson    ,"Like starry blooms on a new firmament, "
6, Helen Hunt Jackson    ,White lilies float and regally abide. 
7, Helen Hunt Jackson    ,In vain the cruel skies their hot rays shed; 
8, Helen Hunt Jackson    ,The lily does not feel their brazen glare. 
9, Helen Hunt Jackson    ,In vain the pallid clouds refuse to share 
10, Helen Hunt Jackson    ,"Their dews, the lily feels no thirst, no dread. "
11, Helen Hunt Jackson    ,Unharmed she lifts her queenly face and head; 
12, Helen Hunt Jackson    ,She drinks of living waters and keeps fair. 
13, Helen Hunt Jackson    ,O Month when they who love must love and wed! 
14, Helen Hunt Jackson    ,"Were one to go to worlds where May is naught, "
15, Helen Hunt Jackson    ,And seek to tell the memories he had brought 
16, Helen Hunt Jackson    ,"From earth of thee, what were most fitly said? "
17, Helen Hunt Jackson    ,I know not if the rosy showers shed 
18, Helen Hunt Jackson    ,"From apple-boughs, or if the soft green wrought "
19, Helen Hunt Jackson    ,"In fields, or if the robin's call be fraught "
20, Helen Hunt Jackson    ,The most with thy delight. Perhaps they read 
21, Helen Hunt Jackson    ,Thee best who in the ancient time did say 
22, Helen Hunt Jackson    ,Thou wert the sacred month unto the old: 
23, Helen Hunt Jackson    ,No blossom blooms upon thy brightest day 
24, Helen Hunt Jackson    ,So subtly sweet as memories which unfold 
25, Helen Hunt Jackson    ,"In aged hearts which in thy sunshine lie, "
26, Helen Hunt Jackson    ,To sun themselves once more before they die. 
27, Helen Hunt Jackson    ,"O Winter! frozen pulse and heart of fire, "
28, Helen Hunt Jackson    ,What loss is theirs who from thy kingdom turn 
29, Helen Hunt Jackson    ,"Dismayed, and think thy snow a sculptured urn "
30, Helen Hunt Jackson    ,Of death! Far sooner in midsummer tire 
31, Helen Hunt Jackson    ,The streams than under ice. June could not hire 
32, Helen Hunt Jackson    ,Her roses to forego the strength they learn 
33, Helen Hunt Jackson    ,In sleeping on thy breast. No fires can burn 
34, Helen Hunt Jackson    ,The bridges thou dost lay where men desire 
35, Helen Hunt Jackson    ,In vain to build. 
36, Helen Hunt Jackson    ,"O Heart, when Love's sun goes "
37, Helen Hunt Jackson    ,"To northward, and the sounds of singing cease, "
38, Helen Hunt Jackson    ,"Keep warm by inner fires, and rest in peace. "
39, Helen Hunt Jackson    ,"Sleep on content, as sleeps the patient rose. "
