user_id,movie_id,rating,gender,age,occupation,title,genres
1793,1641,4,M,25,4,"Full Monty, The (1997)",Comedy
73,70,5,M,18,4,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller
4725,805,3,M,35,5,"Time to Kill, A (1996)",Drama
2288,3869,2,M,1,10,"Naked Gun 2 1/2: The Smell of Fear, The (1991)",Comedy
5630,2599,4,M,35,17,Election (1999),Comedy
1870,1569,3,M,56,13,My Best Friend's Wedding (1997),Comedy|Romance
1494,2858,5,M,25,17,American Beauty (1999),Comedy|Drama
1010,3478,2,M,25,0,"Bamba, La (1987)",Drama
4042,208,2,M,35,15,Waterworld (1995),Action|Adventure
4457,25,5,M,35,14,Leaving Las Vegas (1995),Drama|Romance
5625,3019,5,M,25,1,Drugstore Cowboy (1989),Crime|Drama
4800,802,3,M,18,4,Phenomenon (1996),Drama|Romance
453,3671,3,M,18,4,Blazing Saddles (1974),Comedy|Western
3261,952,2,M,45,20,Around the World in 80 Days (1956),Adventure|Comedy
5289,2871,4,M,45,2,Deliverance (1972),Adventure|Thriller
2887,2353,4,M,25,3,Enemy of the State (1998),Action|Thriller
3655,653,4,F,25,7,Dragonheart (1996),Action|Adventure|Fantasy
216,1997,4,M,45,13,"Exorcist, The (1973)",Horror
4408,2001,3,F,45,2,Lethal Weapon 2 (1989),Action|Comedy|Crime|Drama
4458,3264,4,F,25,4,Buffy the Vampire Slayer (1992),Comedy|Horror
2918,1266,5,M,25,12,Unforgiven (1992),Western
5824,2012,4,M,18,12,Back to the Future Part III (1990),Comedy|Sci-Fi|Western
660,254,3,M,45,16,Jefferson in Paris (1995),Drama
2926,60,3,F,18,2,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy
2337,1580,5,M,35,17,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi
798,60,4,F,25,20,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy
2771,141,4,M,18,1,"Birdcage, The (1996)",Comedy
2899,3258,4,M,35,14,Death Becomes Her (1992),Comedy
5703,1754,4,M,56,1,Fallen (1998),Action|Mystery|Thriller
2860,1278,5,M,35,17,Young Frankenstein (1974),Comedy|Horror
1354,3006,2,F,25,2,"Insider, The (1999)",Drama
3389,1375,3,M,18,0,Star Trek III: The Search for Spock (1984),Action|Adventure|Sci-Fi
1515,661,2,M,25,16,James and the Giant Peach (1996),Animation|Children's|Musical
4227,2851,1,M,25,19,Saturn 3 (1979),Adventure|Sci-Fi|Thriller
4386,1779,3,M,25,5,Sphere (1998),Adventure|Sci-Fi|Thriller
1088,1487,3,F,1,10,Selena (1997),Drama|Musical
3940,2750,3,M,35,20,Radio Days (1987),Comedy|Drama
3108,1227,5,M,50,6,Once Upon a Time in America (1984),Crime|Drama|Thriller
4771,2674,4,F,25,4,"Loss of Sexual Innocence, The (1999)",Drama
3182,1246,3,M,25,12,Dead Poets Society (1989),Drama
1130,6,4,M,18,7,Heat (1995),Action|Crime|Thriller
1882,1394,2,M,35,16,Raising Arizona (1987),Comedy
1496,2143,3,M,25,17,Legend (1985),Adventure|Fantasy|Romance
3301,147,3,F,25,2,"Basketball Diaries, The (1995)",Drama
2102,3251,1,M,25,11,Agnes of God (1985),Drama|Mystery
1448,2420,5,F,25,3,"Karate Kid, The (1984)",Drama
92,3882,2,F,18,4,Bring It On (2000),Comedy
169,1257,3,M,25,7,Better Off Dead... (1985),Comedy
1497,1240,5,M,50,5,"Terminator, The (1984)",Action|Sci-Fi|Thriller
3637,3160,1,M,25,6,Magnolia (1999),Drama
2629,3635,4,M,25,11,"Spy Who Loved Me, The (1977)",Action
533,1214,5,M,25,12,Alien (1979),Action|Horror|Sci-Fi|Thriller
1925,1598,2,M,50,7,Desperate Measures (1998),Crime|Drama|Thriller
2145,1873,5,M,18,10,"Misérables, Les (1998)",Drama
5046,2467,4,M,25,16,"Name of the Rose, The (1986)",Mystery
2896,377,4,M,18,14,Speed (1994),Action|Romance|Thriller
5832,2062,3,F,25,0,"Governess, The (1998)",Drama|Romance
3729,1291,5,M,18,4,Indiana Jones and the Last Crusade (1989),Action|Adventure
911,2099,4,M,50,0,Song of the South (1946),Adventure|Animation|Children's|Musical
3999,1252,4,M,35,17,Chinatown (1974),Film-Noir|Mystery|Thriller
1707,3163,5,M,50,1,Topsy-Turvy (1999),Drama
5614,750,5,M,25,0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War
1470,1787,2,M,18,4,"Paralyzing Fear: The Story of Polio in America, A (1998)",Documentary
2114,2006,4,M,18,18,"Mask of Zorro, The (1998)",Action|Adventure|Romance
1980,2424,4,M,35,7,You've Got Mail (1998),Comedy|Romance
4828,1821,3,F,18,20,"Object of My Affection, The (1998)",Comedy|Romance
5015,2987,5,M,35,6,Who Framed Roger Rabbit? (1988),Adventure|Animation|Film-Noir
2526,1340,4,M,56,13,Bride of Frankenstein (1935),Horror
5099,1020,3,M,18,0,Cool Runnings (1993),Comedy
3018,1385,4,M,35,0,Under Siege (1992),Action
224,2997,4,F,18,4,Being John Malkovich (1999),Comedy
48,1907,4,M,25,4,Mulan (1998),Animation|Children's
1002,2352,5,M,50,11,"Big Chill, The (1983)",Comedy|Drama
4972,1965,4,M,35,0,Repo Man (1984),Comedy|Sci-Fi
5256,282,3,M,25,16,Nell (1994),Drama
3300,1285,5,M,35,5,Heathers (1989),Comedy
2251,3018,5,M,35,14,Re-Animator (1985),Horror
3526,153,3,M,35,2,Batman Forever (1995),Action|Adventure|Comedy|Crime
5831,2539,3,M,25,1,Analyze This (1999),Comedy
3367,2612,5,M,50,16,Mildred Pierce (1945),Drama
4271,170,1,M,35,7,Hackers (1995),Action|Crime|Thriller
2025,555,2,M,56,13,True Romance (1993),Action|Crime|Romance
59,969,4,F,50,1,"African Queen, The (1951)",Action|Adventure|Romance|War
5225,1037,3,M,18,4,"Lawnmower Man, The (1992)",Action|Sci-Fi|Thriller
770,20,2,M,18,4,Money Train (1995),Action
5605,3250,3,F,18,2,Alive (1993),Drama
5177,1912,4,M,45,14,Out of Sight (1998),Action|Crime|Romance
1211,1835,1,M,18,4,City of Angels (1998),Romance
3292,2409,4,F,50,6,Rocky II (1979),Action|Drama
1403,1200,2,F,25,0,Aliens (1986),Action|Sci-Fi|Thriller|War
4222,1231,4,F,45,17,"Right Stuff, The (1983)",Drama
4521,2105,3,M,35,12,Tron (1982),Action|Adventure|Fantasy|Sci-Fi
1019,1721,1,M,35,1,Titanic (1997),Drama|Romance
2820,852,2,F,35,0,Tin Cup (1996),Comedy|Romance
1306,2329,5,M,25,3,American History X (1998),Drama
767,2875,5,M,25,12,Sommersby (1993),Drama|Mystery|Romance
955,3467,5,F,50,7,Hud (1963),Drama|Western
4647,161,2,M,35,20,Crimson Tide (1995),Drama|Thriller|War
2063,1263,5,M,25,4,"Deer Hunter, The (1978)",Drama|War
4213,1992,1,M,35,7,Child's Play 2 (1990),Horror
3589,2052,5,F,45,0,Hocus Pocus (1993),Children's|Comedy
4312,1387,5,M,25,18,Jaws (1975),Action|Horror
3610,3196,1,M,18,6,Stalag 17 (1953),Drama|War
5797,2012,3,M,25,7,Back to the Future Part III (1990),Comedy|Sci-Fi|Western
1503,1971,2,M,25,12,"Nightmare on Elm Street 4: The Dream Master, A (1988)",Horror
5387,1959,2,F,25,1,Out of Africa (1985),Drama|Romance
5000,1298,5,M,25,4,Pink Floyd - The Wall (1982),Drama|Musical|War
225,233,4,M,25,7,Exotica (1994),Drama
1204,3534,3,M,25,7,28 Days (2000),Comedy
3464,3481,3,F,25,14,High Fidelity (2000),Comedy
752,2375,1,F,25,3,"Money Pit, The (1986)",Comedy
1179,2683,2,M,50,1,Austin Powers: The Spy Who Shagged Me (1999),Comedy
4006,2901,3,M,1,7,Phantasm (1979),Horror|Sci-Fi
1329,2572,3,M,18,14,10 Things I Hate About You (1999),Comedy|Romance
2172,3052,3,M,18,20,Dogma (1999),Comedy
2645,2872,3,M,25,7,Excalibur (1981),Action|Drama|Fantasy|Romance
687,2262,3,F,25,7,About Last Night... (1986),Comedy|Drama|Romance
2641,2671,4,M,25,6,Notting Hill (1999),Comedy|Romance
1836,3622,4,M,25,0,"Twelve Chairs, The (1970)",Comedy
3547,2009,5,M,35,16,Soylent Green (1973),Sci-Fi|Thriller
3768,586,3,M,25,4,Home Alone (1990),Children's|Comedy
5269,3699,4,M,18,0,Starman (1984),Adventure|Drama|Romance|Sci-Fi
2017,2916,4,M,25,17,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller
1422,457,3,M,35,17,"Fugitive, The (1993)",Action|Thriller
4959,2057,3,M,25,17,"Incredible Journey, The (1963)",Adventure|Children's
3432,2094,3,M,25,12,"Rocketeer, The (1991)",Action|Adventure|Sci-Fi
2016,153,4,F,56,2,Batman Forever (1995),Action|Adventure|Comedy|Crime
4071,1732,4,M,25,17,"Big Lebowski, The (1998)",Comedy|Crime|Mystery|Thriller
2105,188,1,M,25,1,"Prophecy, The (1995)",Horror
4543,2772,2,M,25,2,Detroit Rock City (1999),Comedy
4089,2976,2,M,25,7,Bringing Out the Dead (1999),Drama|Horror
2623,2690,4,M,56,1,"Ideal Husband, An (1999)",Comedy
4425,1350,4,M,35,7,"Omen, The (1976)",Horror
4310,1895,4,M,25,4,Can't Hardly Wait (1998),Comedy|Drama|Romance
5428,2006,4,F,25,6,"Mask of Zorro, The (1998)",Action|Adventure|Romance
2928,2,1,M,25,2,Jumanji (1995),Adventure|Children's|Fantasy
3511,1247,5,M,50,0,"Graduate, The (1967)",Drama|Romance
3491,2273,3,M,25,16,Rush Hour (1998),Action|Thriller
4788,2798,2,M,35,7,Problem Child (1990),Comedy
461,1356,3,M,50,7,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi
5994,3107,4,M,35,1,Backdraft (1991),Action|Drama
5786,3160,5,M,25,6,Magnolia (1999),Drama
889,587,3,M,45,20,Ghost (1990),Comedy|Romance|Thriller
3710,88,4,M,1,10,Black Sheep (1996),Comedy
2666,1396,4,M,45,16,Sneakers (1992),Crime|Drama|Sci-Fi
2109,2694,1,M,25,16,Big Daddy (1999),Comedy
5738,2789,3,M,25,12,Damien: Omen II (1978),Horror
1701,3115,4,F,25,4,Flawless (1999),Drama
