"","org","year","survey","bush","state","edu","age","female","black","weight"
"1","cbsnyt",1,"9152",1,7,2,2,1,0,1403
"2","cbsnyt",1,"9152",1,33,4,3,0,0,778
"3","cbsnyt",1,"9152",0,20,2,1,1,0,1564
"4","cbsnyt",1,"9152",1,31,3,2,1,0,1055
"5","cbsnyt",1,"9152",1,18,3,1,1,0,1213
"6","cbsnyt",1,"9152",1,31,4,2,0,0,910
"7","cbsnyt",1,"9152",1,40,1,3,0,0,735
"8","cbsnyt",1,"9152",1,33,4,2,1,0,410
"9","cbsnyt",1,"9152",0,22,4,2,1,0,410
"10","cbsnyt",1,"9152",1,22,4,3,0,0,778
"11","cbsnyt",1,"9152",1,33,4,1,1,0,2118
"12","cbsnyt",1,"9152",1,22,4,1,1,0,706
"13","cbsnyt",1,"9152",1,39,2,3,1,0,1323
"14","cbsnyt",1,"9152",1,33,2,3,0,0,735
"15","cbsnyt",1,"9152",0,31,4,2,1,0,410
"16","cbsnyt",1,"9152",1,33,2,3,0,0,2204
"17","cbsnyt",1,"9152",0,10,3,3,1,0,286
"18","cbsnyt",1,"9152",0,33,3,2,1,1,528
"19","cbsnyt",1,"9152",1,40,4,2,1,0,820
"20","cbsnyt",1,"9152",0,33,3,2,0,0,781
"21","cbsnyt",1,"9152",1,39,1,4,1,0,3508
"22","cbsnyt",1,"9152",1,31,4,2,0,0,455
"23","cbsnyt",1,"9152",1,33,1,4,0,0,1948
"24","cbsnyt",1,"9152",1,41,3,2,0,0,1001
"25","cbsnyt",1,"9152",0,33,4,2,1,1,1230
"26","cbsnyt",1,"9152",1,15,4,4,1,0,411
"27","cbsnyt",1,"9152",0,22,2,2,1,0,701
"28","cbsnyt",1,"9152",0,39,2,2,1,0,1403
"29","cbsnyt",1,"9152",0,22,3,2,0,0,781
"30","cbsnyt",1,"9152",1,7,4,3,1,0,701
"31","cbsnyt",1,"9152",0,33,4,3,0,0,778
"32","cbsnyt",1,"9152",1,22,4,3,0,0,778
"33","cbsnyt",1,"9152",0,10,1,4,1,0,1498
"34","cbsnyt",1,"9152",0,31,4,2,0,0,455
"35","cbsnyt",1,"9152",1,19,1,4,0,0,1663
"36","cbsnyt",1,"9152",1,22,2,3,1,0,1323
"37","cbsnyt",1,"9152",0,33,4,2,0,0,910
"38","cbsnyt",1,"9152",0,43,3,2,0,1,1527
"39","cbsnyt",1,"9152",0,14,2,3,0,0,1107
"40","cbsnyt",1,"9152",1,1,2,3,1,0,1130
"41","cbsnyt",1,"9152",1,14,1,1,0,1,1497
"42","cbsnyt",1,"9152",0,16,2,3,0,0,554
"43","cbsnyt",1,"9152",1,10,1,1,1,0,1335
"44","cbsnyt",1,"9152",0,21,4,2,0,0,389
"45","cbsnyt",1,"9152",0,33,4,1,1,0,1059
"46","cbsnyt",1,"9152",1,25,4,2,0,0,389
"47","cbsnyt",1,"9152",1,39,2,3,0,0,735
"48","cbsnyt",1,"9152",0,36,2,3,1,0,997
"49","cbsnyt",1,"9152",1,49,4,1,0,0,1339
"50","cbsnyt",1,"9152",1,1,1,3,1,1,848
"51","cbsnyt",1,"9152",1,34,2,1,1,0,1335
"52","cbsnyt",1,"9152",1,36,3,1,0,0,396
"53","cbsnyt",1,"9152",0,47,4,2,1,0,700
"54","cbsnyt",1,"9152",1,34,3,2,0,0,667
"55","cbsnyt",1,"9152",1,23,3,2,1,0,530
"56","cbsnyt",1,"9152",NA,50,4,4,1,0,822
"57","cbsnyt",1,"9152",NA,36,3,2,1,0,265
"58","cbsnyt",1,"9152",0,10,4,3,0,0,664
"59","cbsnyt",1,"9152",1,24,2,2,1,0,1057
"60","cbsnyt",1,"9152",1,19,3,2,0,0,667
"61","cbsnyt",1,"9152",0,43,2,1,1,0,1335
"62","cbsnyt",1,"9152",NA,24,1,4,1,0,661
"63","cbsnyt",1,"9152",NA,26,2,4,0,0,1468
"64","cbsnyt",1,"9152",0,23,1,4,0,0,1468
"65","cbsnyt",1,"9152",0,50,1,4,0,0,734
"66","cbsnyt",1,"9152",1,4,3,2,0,0,667
"67","cbsnyt",1,"9152",1,34,3,2,0,0,334
"68","cbsnyt",1,"9152",1,14,4,2,1,0,618
"69","cbsnyt",1,"9152",1,14,4,1,1,0,532
"70","cbsnyt",1,"9152",1,15,4,3,0,0,293
"71","cbsnyt",1,"9152",1,50,2,2,1,0,1057
"72","cbsnyt",1,"9152",1,25,2,4,1,0,749
"73","cbsnyt",1,"9152",0,10,4,4,0,0,1035
"74","cbsnyt",1,"9152",1,16,4,2,1,0,618
"75","cbsnyt",1,"9152",0,50,2,2,0,0,1761
"76","cbsnyt",1,"9152",0,44,2,3,1,0,565
"77","cbsnyt",1,"9152",1,15,4,3,0,0,586
"78","cbsnyt",1,"9152",1,10,1,1,0,0,1483
"79","cbsnyt",1,"9152",1,24,2,1,1,0,1767
"80","cbsnyt",1,"9152",1,18,4,2,1,0,700
"81","cbsnyt",1,"9152",1,16,2,3,0,0,1107
"82","cbsnyt",1,"9152",1,16,4,2,0,0,171
"83","cbsnyt",1,"9152",0,36,2,3,1,0,498
"84","cbsnyt",1,"9152",0,43,3,1,1,1,607
"85","cbsnyt",1,"9152",1,18,3,2,1,0,601
"86","cbsnyt",1,"9152",0,48,3,1,1,0,1102
"87","cbsnyt",1,"9152",0,17,3,1,1,0,1427
"88","cbsnyt",1,"9152",1,50,2,3,1,0,1495
"89","cbsnyt",1,"9152",0,36,4,2,0,0,343
"90","cbsnyt",1,"9152",1,43,1,2,1,0,2249
"91","cbsnyt",1,"9152",0,43,4,4,1,0,466
"92","cbsnyt",1,"9152",1,10,3,4,0,0,423
"93","cbsnyt",1,"9152",0,36,3,3,0,1,963
"94","cbsnyt",1,"9152",0,32,1,3,1,0,513
"95","cbsnyt",1,"9152",0,36,2,1,1,0,1178
"96","cbsnyt",1,"9152",0,28,3,3,0,0,280
"97","cbsnyt",1,"9152",1,21,4,2,1,0,700
"98","cbsnyt",1,"9152",1,43,4,3,1,0,598
"99","cbsnyt",1,"9152",0,34,2,2,0,0,998
"100","cbsnyt",1,"9152",1,3,2,1,0,1,1542
"101","cbsnyt",1,"9152",1,23,2,1,0,0,1963
"102","cbsnyt",1,"9152",1,15,4,2,0,0,343
"103","cbsnyt",1,"9152",1,45,1,2,0,0,1513
"104","cbsnyt",1,"9152",1,1,3,3,1,0,859
"105","cbsnyt",1,"9152",1,27,2,1,1,0,1213
"106","cbsnyt",1,"9152",1,47,3,1,1,0,404
"107","cbsnyt",1,"9152",0,19,3,1,1,1,1213
"108","cbsnyt",1,"9152",NA,48,3,1,1,0,735
"109","cbsnyt",1,"9152",0,28,2,3,1,0,498
"110","cbsnyt",1,"9152",0,36,2,2,0,0,1174
"111","cbsnyt",1,"9152",1,5,4,3,1,0,272
"112","cbsnyt",1,"9152",1,14,4,3,0,0,293
"113","cbsnyt",1,"9152",0,5,4,1,0,1,1393
"114","cbsnyt",1,"9152",1,36,4,2,1,0,618
"115","cbsnyt",1,"9152",1,14,3,1,0,0,1980
"116","cbsnyt",1,"9152",0,47,1,3,1,0,1130
"117","cbsnyt",1,"9152",0,23,3,1,1,0,713
"118","cbsnyt",1,"9152",0,5,3,2,0,0,1213
"119","cbsnyt",1,"9152",0,21,2,4,0,0,2495
"120","cbsnyt",1,"9152",1,1,2,3,0,0,1255
"121","cbsnyt",1,"9152",1,23,2,3,1,0,997
"122","cbsnyt",1,"9152",0,6,3,1,0,0,1224
"123","cbsnyt",1,"9152",1,45,2,2,1,0,544
"124","cbsnyt",1,"9152",0,44,2,1,0,0,1483
"125","cbsnyt",1,"9152",1,3,2,1,1,0,1213
"126","cbsnyt",1,"9152",1,13,3,1,1,0,735
"127","cbsnyt",1,"9152",1,36,2,4,1,0,661
"128","cbsnyt",1,"9152",0,50,4,1,1,0,266
"129","cbsnyt",1,"9152",0,1,2,2,1,0,1198
"130","cbsnyt",1,"9152",0,21,4,1,0,0,670
"131","cbsnyt",1,"9152",0,5,4,2,1,0,318
"132","cbsnyt",1,"9152",1,5,4,2,0,0,706
"133","cbsnyt",1,"9152",1,10,4,2,0,0,777
"134","cbsnyt",1,"9152",1,10,3,1,0,0,1795
"135","cbsnyt",1,"9152",NA,14,2,2,1,0,1057
"136","cbsnyt",1,"9152",0,5,2,4,1,0,680
"137","cbsnyt",1,"9152",0,10,4,1,1,0,603
