Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,747.109985,775.955017,745.630005,762.369995,2519600,762.369995
2015-11-02,711.059998,762.708008,705.849976,742.599976,1795300,742.599976
2015-10-01,608.369995,730.00,599.849976,710.809998,2337100,710.809998
2015-09-01,602.359985,650.900024,589.380005,608.419983,2398400,608.419983
2015-08-03,625.340027,674.900024,565.049988,618.25,2661600,618.25
2015-07-01,524.72998,678.640015,515.179993,625.609985,2955600,625.609985
2015-06-01,536.789978,543.73999,520.50,520.51001,1662400,520.51001
2015-05-01,538.429993,544.190002,521.085022,532.109985,1723100,532.109985
2015-04-01,548.602417,571.142578,521.01239,537.340027,2116700,537.340027
2015-03-02,560.532532,577.912598,544.222473,548.002441,1828900,548.002441
2015-02-02,531.732361,564.712585,518.552307,558.402588,1841600,558.402588
2015-01-02,529.01239,542.172424,487.562195,534.522461,2791200,534.522461
2014-12-01,538.902466,541.412415,489.002228,526.402405,2146700,526.402405
2014-11-03,555.502502,557.902527,530.082397,541.832458,1561200,541.832458
2014-10-01,576.012634,581.002625,508.102295,559.08252,2356400,559.08252
2014-09-02,571.852539,596.482666,568.212646,577.36261,1673200,577.36261
2014-08-01,570.402588,587.342651,560.002563,571.602539,1368800,571.602539
2014-07-01,578.322632,599.65271,565.012573,571.602539,1668800,571.602539
2014-06-02,560.702576,582.452637,538.752441,575.282593,1872200,575.282593
2014-05-01,527.112366,567.84259,503.302277,559.892578,1828500,559.892578
2014-04-01,558.712585,604.832764,502.802277,526.662415,3290800,526.662415
2014-03-27,568.002563,568.002563,552.922546,556.972473,25300,556.972473
