"vegtype" "burn01" "burn02" "burn03" "totalseeds" "seedlings"
"1" "oldfieldcool" "yes" "no" "no" 100  5
"2" "oldfieldcool" "yes" "no" "no" 100  3
"3" "oldfieldcool" "yes" "no" "no" 100  4
"4" "oldfieldcool" "no" "no" "no" 100  0
"5" "oldfieldcool" "no" "no" "no" 100  3
"6" "oldfieldcool" "no" "no" "no" 100  1
"7" "oldfieldcool" "no" "yes" "no" 100  3
"8" "oldfieldcool" "no" "yes" "no" 100  2
"9" "oldfieldcool" "no" "yes" "no" 100  9
"10" "oldfieldcool" "no" "yes" "no" 100  2
"11" "oldfieldcool" "no" "yes" "no" 100  3
"12" "oldfieldcool" "no" "yes" "no" 100  1
"13" "oldfieldcool" "yes" "no" "no" 100  0
"14" "oldfieldcool" "yes" "no" "no" 100  2
"15" "oldfieldcool" "yes" "no" "no" 100  0
"16" "oldfieldcool" "no" "no" "no" 100  3
"17" "oldfieldcool" "no" "no" "no" 100  0
"18" "oldfieldcool" "no" "no" "no" 100  1
"37" "oldfieldcool" "no" "no" "no" 100  0
"38" "oldfieldcool" "no" "no" "no" 100  0
"39" "oldfieldcool" "no" "no" "no" 100  0
"40" "oldfieldcool" "yes" "no" "no" 100  0
"41" "oldfieldcool" "yes" "no" "no" 100  0
"42" "oldfieldcool" "yes" "no" "no" 100  0
"43" "oldfieldcool" "no" "yes" "no" 100  5
"44" "oldfieldcool" "no" "yes" "no" 100  3
"45" "oldfieldcool" "no" "yes" "no" 100  2
"46" "oldfieldcool" "no" "no" "no" 100  0
"47" "oldfieldcool" "no" "no" "no" 100  0
"48" "oldfieldcool" "no" "no" "no" 100  0
"49" "oldfieldcool" "no" "yes" "no" 100  0
"50" "oldfieldcool" "no" "yes" "no" 100  0
"51" "oldfieldcool" "no" "yes" "no" 100  3
"52" "oldfieldcool" "yes" "no" "no" 100  0
"53" "oldfieldcool" "yes" "no" "no" 100  0
"54" "oldfieldcool" "yes" "no" "no" 100  3
"55" "oldfieldcool" "no" "no" "no" 100  0
"56" "oldfieldcool" "no" "no" "no" 100  6
"57" "oldfieldcool" "no" "no" "no" 100  2
"58" "oldfieldcool" "no" "yes" "no" 100  8
"59" "oldfieldcool" "no" "yes" "no" 100  3
"60" "oldfieldcool" "no" "yes" "no" 100  1
"61" "oldfieldcool" "no" "no" "no" 100  0
"62" "oldfieldcool" "no" "no" "no" 100  4
"63" "oldfieldcool" "no" "no" "no" 100  0
"64" "oldfieldcool" "yes" "no" "no" 100 11
"65" "oldfieldcool" "yes" "no" "no" 100 11
"66" "oldfieldcool" "yes" "no" "no" 100  6
"67" "oldfieldcool" "no" "yes" "no" 100  0
"68" "oldfieldcool" "no" "yes" "no" 100  9
"69" "oldfieldcool" "no" "yes" "no" 100  0
"70" "oldfieldcool" "yes" "no" "no" 100  3
"71" "oldfieldcool" "yes" "no" "no" 100  5
