Graduating Class,Fall Freshman Year,District,District Name,Graduates,Total Cohort,Graduation Rate,Graduation Rate Category,District Office Location
2009,2005,0018,Adair-Casey,29,30,96.67,95.01 - 100.00%,"3384 Indigo Ave.
Adair, Iowa 50002
(41.521570143000474, -94.58585381899968)"
2010,2006,0018,Adair-Casey,25,25,100.00,95.01 - 100.00%,"3384 Indigo Ave.
Adair, Iowa 50002
(41.521570143000474, -94.58585381899968)"
2011,2007,0018,Adair-Casey,27,29,93.10,90.01 - 95.00%,"3384 Indigo Ave.
Adair, Iowa 50002
(41.521570143000474, -94.58585381899968)"
2012,2008,0018,Adair-Casey,18,19,94.74,90.01 - 95.00%,"3384 Indigo Ave.
Adair, Iowa 50002
(41.521570143000474, -94.58585381899968)"
2013,2009,0018,Adair-Casey,30,30,100.00,95.01 - 100.00%,"3384 Indigo Ave.
Adair, Iowa 50002
(41.521570143000474, -94.58585381899968)"
2014,2010,0018,Adair-Casey,23,25,92.00,90.01 - 95.00%,"3384 Indigo Ave.
Adair, Iowa 50002
(41.521570143000076, -94.58585381899996)"
2009,2005,0027,Adel-DeSoto-Minburn,106,116,91.38,90.01 - 95.00%,"801 Nile Kinnick Dr S
Adel, Iowa 50003
(41.610227858000485, -94.01677178999967)"
2010,2006,0027,Adel-DeSoto-Minburn,103,111,92.79,90.01 - 95.00%,"801 Nile Kinnick Dr S
Adel, Iowa 50003
(41.610227858000485, -94.01677178999967)"
2011,2007,0027,Adel-DeSoto-Minburn,97,101,96.04,95.01 - 100.00%,"801 Nile Kinnick Dr S
Adel, Iowa 50003
(41.610227858000485, -94.01677178999967)"
2012,2008,0027,Adel-DeSoto-Minburn,115,118,97.46,95.01 - 100.00%,"801 Nile Kinnick Dr S
Adel, Iowa 50003
(41.610227858000485, -94.01677178999967)"
2013,2009,0027,Adel-DeSoto-Minburn,86,88,97.73,95.01 - 100.00%,"801 Nile Kinnick Dr S
Adel, Iowa 50003
(41.610227858000485, -94.01677178999967)"
2014,2010,0027,Adel-DeSoto-Minburn,105,106,99.06,95.01 - 100.00%,"801 Nile Kinnick Dr S
Adel, Iowa 50003
(41.61022785800003, -94.01677178999995)"
2009,2005,0009,AGWSR,42,46,91.30,90.01 - 95.00%,"511 State St
Ackley, Iowa 50601
(42.55201650200047, -93.0513989539997)"
2010,2006,0009,AGWSR,43,46,93.48,90.01 - 95.00%,"511 State St
Ackley, Iowa 50601
(42.55201650200047, -93.0513989539997)"
2011,2007,0009,AGWSR,50,51,98.04,95.01 - 100.00%,"511 State St
Ackley, Iowa 50601
(42.55201650200047, -93.0513989539997)"
2012,2008,0009,AGWSR,41,41,100.00,95.01 - 100.00%,"511 State St
Ackley, Iowa 50601
(42.55201650200047, -93.0513989539997)"
2013,2009,0009,AGWSR,51,51,100.00,95.01 - 100.00%,"511 State St
Ackley, Iowa 50601
(42.55201650200047, -93.0513989539997)"
2014,2010,0009,AGWSR,46,46,100.00,95.01 - 100.00%,"511 State St
Ackley, Iowa 50601
(42.552016501000026, -93.05139895399998)"
2009,2005,0441,A-H-S-T,34,39,87.18,85.01 - 90.00%,"768 South Maple Street
Avoca, Iowa 51521
(41.47085130700049, -95.34103742799965)"
2010,2006,0441,A-H-S-T,41,43,95.35,95.01 - 100.00%,"768 South Maple Street
Avoca, Iowa 51521
(41.47085130700049, -95.34103742799965)"
2011,2007,0441,A-H-S-T,31,36,86.11,85.01 - 90.00%,"768 South Maple Street
Avoca, Iowa 51521
(41.47085130700049, -95.34103742799965)"
2012,2008,0441,A-H-S-T,31,36,86.11,85.01 - 90.00%,"768 South Maple Street
Avoca, Iowa 51521
(41.47085130700049, -95.34103742799965)"
2013,2009,0441,A-H-S-T,33,38,86.84,85.01 - 90.00%,"768 South Maple Street
Avoca, Iowa 51521
(41.47085130700049, -95.34103742799965)"
2014,2010,0441,A-H-S-T,31,31,100.00,95.01 - 100.00%,"768 South Maple Street
Avoca, Iowa 51521
(41.47085130700003, -95.34103742799994)"
2009,2005,0063,Akron Westfield,43,49,87.76,85.01 - 90.00%,"850 Kerr Dr
Akron, Iowa 51001
(42.8328236800005, -96.55041295999968)"
2010,2006,0063,Akron Westfield,46,50,92.00,90.01 - 95.00%,"850 Kerr Dr
Akron, Iowa 51001
(42.8328236800005, -96.55041295999968)"
2011,2007,0063,Akron Westfield,37,37,100.00,95.01 - 100.00%,"850 Kerr Dr
Akron, Iowa 51001
(42.8328236800005, -96.55041295999968)"
