"","Class","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1","republican","n","y","n","y","y","y","n","n","n","y",NA,"y","y","y","n","y"
"2","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n",NA
"3","democrat",NA,"y","y",NA,"y","y","n","n","n","n","y","n","y","y","n","n"
"4","democrat","n","y","y","n",NA,"y","n","n","n","n","y","n","y","n","n","y"
"5","democrat","y","y","y","n","y","y","n","n","n","n","y",NA,"y","y","y","y"
"6","democrat","n","y","y","n","y","y","n","n","n","n","n","n","y","y","y","y"
"7","democrat","n","y","n","y","y","y","n","n","n","n","n","n",NA,"y","y","y"
"8","republican","n","y","n","y","y","y","n","n","n","n","n","n","y","y",NA,"y"
"9","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"10","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n",NA,NA
"11","republican","n","y","n","y","y","n","n","n","n","n",NA,NA,"y","y","n","n"
"12","republican","n","y","n","y","y","y","n","n","n","n","y",NA,"y","y",NA,NA
"13","democrat","n","y","y","n","n","n","y","y","y","n","n","n","y","n",NA,NA
"14","democrat","y","y","y","n","n","y","y","y",NA,"y","y",NA,"n","n","y",NA
"15","republican","n","y","n","y","y","y","n","n","n","n","n","y",NA,NA,"n",NA
"16","republican","n","y","n","y","y","y","n","n","n","y","n","y","y",NA,"n",NA
"17","democrat","y","n","y","n","n","y","n","y",NA,"y","y","y",NA,"n","n","y"
"18","democrat","y",NA,"y","n","n","n","y","y","y","n","n","n","y","n","y","y"
"19","republican","n","y","n","y","y","y","n","n","n","n","n",NA,"y","y","n","n"
"20","democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"21","democrat","y","y","y","n","n",NA,"y","y","n","n","y","n","n","n","y","y"
"22","democrat","y","y","y","n","n","n","y","y","y","n","n","n",NA,NA,"y","y"
"23","democrat","y",NA,"y","n","n","n","y","y","y","n","n",NA,"n","n","y","y"
"24","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
