id,sex
1,Male
2,Male
3,Male
4,Male
5,Male
6,Male
7,Male
8,Male
9,Male
10,Male
11,Male
12,Male
13,Male
14,Male
15,Male
16,Male
17,Female
18,Female
19,Male
20,Male
21,Male
22,Male
23,Male
24,Male
25,Male
26,Male
27,Male
28,Male
29,Male
30,Male
31,Female
32,Female
33,Male
34,Female
35,Female
36,Male
37,Female
38,Male
39,Male
40,Male
41,Female
42,Male
43,Female
44,Female
45,Male
46,Male
47,Female
48,Male
49,Female
50,Male
51,Male
52,Male
53,Male
54,Male
55,Female
56,Male
57,Male
58,Female
59,Male
60,Male
61,Male
62,Male
63,Female
64,Male
65,Male
66,Female
67,Male
68,Female
69,Male
70,Male
71,Female
72,Male
73,Female
74,Male
75,Female
76,Male
77,Female
78,Male
79,Male
80,Male
81,Male
82,Male
83,Male
84,Male
85,Male
86,Female
87,Female
88,Male
89,Male
90,Male
91,Male
92,Male
93,Male
94,Female
95,Male
96,Male
97,Female
98,Female
99,Male
100,Male
101,Male
102,Male
103,Female
104,Male
105,Male
106,Female
107,Male
108,Male
109,Male
110,Male
111,Male
112,Male
113,Male
114,Male
115,Male
116,Female
117,Male
118,Male
119,Male
120,Female
121,Female
122,Male
123,Male
124,Male
125,Male
126,Male
127,Male
128,Male
129,Female
130,Male
131,Male
132,Male
133,Male
134,Male
135,Female
136,Male
137,Male
138,Female
139,Female
140,Female
141,Male
142,Male
143,Male
144,Male
145,Female
146,Male
147,Female
148,Male
149,Male
150,Male
151,Male
152,Male
153,Male
154,Female
155,Male
156,Female
157,Male
158,Male
159,Male
160,Male
161,Male
162,Male
163,Male
164,Male
165,Female
166,Male
167,Female
168,Female
169,Male
170,Male
171,Male
172,Female
173,Male
174,Female
175,Male
176,Male
177,Male
178,Male
179,Male
180,Female
181,Male
182,Male
183,Male
184,Male
185,Male
186,Female
187,Male
188,Male
189,Male
190,Male
191,Male
192,Male
193,Female
194,Male
195,Male
196,Male
197,Female
198,Male
199,Male
200,Male
201,Male
202,Male
203,Male
204,Male
205,Male
206,Male
207,Male
208,Male
209,Male
210,Male
211,Male
212,Male
213,Male
214,Male
215,Male
216,Male
217,Male
218,Male
219,Male
220,Male
221,Male
222,Male
223,Male
224,Female
225,Male
226,Male
227,Female
228,Female
229,Male
230,Male
231,Male
232,Female
233,Male
234,Male
235,Male
236,Male
237,Male
238,Female
239,Male
240,Male
241,Male
242,Male
243,Male
244,Male
245,Female
246,Male
247,Female
248,Male
249,Female
250,Male
251,Female
252,Male
253,Male
254,Male
255,Male
256,Female
257,Male
258,Male
259,Male
260,Female
261,Male
262,Male
263,Female
264,Female
265,Male
266,Male
267,Male
268,Male
269,Male
270,Male
271,Female
272,Female
273,Female
274,Female
275,Male
276,Male
277,Male
278,Female
279,Male
280,Female
281,Female
282,Male
283,Male
284,Male
285,Female
286,Male
287,Male
288,Male
289,Male
290,Male
291,Male
292,Male
293,Female
294,Male
295,Female
296,Female
297,Male
298,Male
299,Male
300,Female
301,Male
302,Male
303,Female
