reviews,search_term,title,location,summary
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
6 reviews,Data Engineer,Database Engineer,"San Mateo, CA","Data Warehousing exposure. Experience optimizing data models and database schemas, and SQL for distributed applications...."
2 reviews,Data Engineer,Big Data Software Engineer - Hedge Funds,"San Francisco Bay Area, CA","Big Data Software Engineer - Hedge Funds - trading, portfolio management and analytics platform. We are seeking talented senior level software engineers to join..."
,Data Engineer,Data Engineer,,"
We are looking for a Data Engineer with the Software Engineering chops to not only build data pipelines to efficiently and reliably move data across systems...."
2 reviews,Data Engineer,Senior Data Engineer,,"
As a Senior Data Engineer, you’ll work on exciting projects that touch all parts of our data ecosystem. Mastery of data warehouse concepts and data models;..."
,Data Engineer,Data Engineer,,"
As a Data Engineer, you will help tackle the hairiest problems at Funding Circle. Be a data evangelist:. You will help manage the flow of data from production..."
,Data Engineer,Data Engineer,,"
and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
264 reviews,Data Engineer,Full Stack Software Engineer Job,,"
Data access optimization:. Full Stack Software Engineer. We are looking for a full stack engineer because we need our engineers to be comfortable when touching..."
,Data Engineer,Data Engineer,,"
As a data engineer, you'll be working to improve our data pipeline, the engine driving BuildZoom's rapid growth...."
,Data Engineer,Data Engineer,,"
As our first data engineer in SF, you’ll work with data analysts, product managers, and the leaders of our business functions to understand their data needs...."
2 reviews,Data Engineer,Data Engineer,,"
We are looking for talented data engineers. You'll be teaming up with interesting and talented engineers. Gigster is looking for exceptional engineers to help..."
,Data Engineer,Data Engineer,,"
We’re looking for an exceptional Data Engineer to join our team of amazingly talented designers, developers and product leads...."
,Data Engineer,Data Analytics Engineer,,"
Taos is immediately hiring a Data Analytics Engineer for a cutting edge tech company in the Bay Area! Utilize multiple available data sources to create a..."
6 reviews,Data Engineer,Software Engineer - Analytics,"San Mateo, CA",To be working in a team of smart/talented engineers who are building a big data platform that will be scalable in to the petabytes of data....
31 reviews,Data Engineer,Big Data Engineer/ Senior Data Engineer,"San Francisco, CA",Big Data team is looking for an experienced Data Engineer who has a passion to build data products and data systems....
41 reviews,Data Engineer,"Software Engineer, Data and Algorithms","Emeryville, CA","Software Engineer, Data and Algorithms. We are looking for a Software Engineer, Data and Algorithms to help our growing team build data pipelines at scale...."
31 reviews,Data Engineer,Big Data Engineer/ Senior Data Engineer,"San Francisco, CA",Big Data team is looking for an experienced Data Engineer who has a passion to build data products and data systems....
,Data Engineer,Software Engineer,,"
Experience with big data (hadoop/cascading etc) and/or distributed systems. Over 5 years of experience with algorithms, data structures and coding...."
,Data Engineer,Data Engineer,,"
The Data Engineer will also contribute to overall big data platform development. Perform ad hoc data analysis, data processing and data visualization using SQL..."
,Data Engineer,Data Engineer,,"
Work with Data Analysts to get the right data to the right people at the right time. Ability to trouble shoot complex data and system interaction problems...."
,Data Engineer,Data Engineering | Software Engineer,,"
We track thousands of data elements every month, from national factors down to house-level data. Ingest large amounts of data from numerous sources...."
,Data Engineer,Data Engineer,,"
Build QA Automation framework that provides real time alerts on data ingestion, drop rate, data processing and implement systems for tracking data quality and..."
231 reviews,Data Engineer,"Software Development Engineer II, Big Data",,"
Software Engineer, Big Data at CarRentals.com (an Expedia, Inc. As a Software Engineer specializing in Big Data processing, you will be responsible for leading,..."
,Data Engineer,Data Engineer,,"
We’re looking for Data Engineers to put complex algorithms and data models into production. Day in the life of a Data Engineer at Kabbage...."
2 reviews,Data Engineer,Database Developer,,"
Being part of a team of extremely talented analysts, engineers, technologists, data scientists and more. Generate and maintain data dictionaries...."
,Data Engineer,Data Engineer,,"
Data Engineer @ Punch*. 3­-4 years experience working as a Data Engineer. Your Responsibilities as a Data Software Engineer @ Punch:...."
,Data Engineer,Software Engineer – Data & Algorithms,,"
We're looking for a full stack engineer who loves data to help us improve our existing agent matching algorithm and the suite of tools that support it...."
127 reviews,Data Engineer,Data Scientist,"San Francisco, CA",As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. How A Data Scientist Works. Can do small data modeling work:....
127 reviews,Data Engineer,Engineering Manager - San Francisco,"San Francisco, CA","Full stack engineer, Manager:. You understand how to use data to make decisions. Solid knowledge of data structures and algorithms and excellent programming..."
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
,Data Engineer,Software Engineer,"San Francisco Bay Area, CA","(You understand smart pointers, templates, and a wide variety of data structures. We are scouting for a Software Engineer for our Cameras/3D Modeling Team...."
31 reviews,Data Engineer,Big Data Engineer/ Senior Data Engineer,"San Francisco, CA",Big Data team is looking for an experienced Data Engineer who has a passion to build data products and data systems....
883 reviews,Data Engineer,Big Data Developer,,"
Are you a Senior Software Engineer with distributed systems and Big Data experience who wants to dream up new data possibilities and come up with creative..."
,Data Engineer,Data Engineer,,"
A Data Engineer contributes to the data intelligence platform. The life of a Data Engineer at Showpad. As a Data Engineer, you will shape the future of the..."
"8,217 reviews",Data Engineer,Senior Data Engineer,,"
Senior Data Engineer/Senior Data Architect. You will drive our data infrastructure, work with engineers to optimize collecting, logging, and piping data, and..."
12 reviews,Data Engineer,Data Engineer,,"
The Data Engineer role in our Central Tech organization will be designing and building core data infrastructure services for reporting, analysis and data..."
6 reviews,Data Engineer,Big Data Engineer,,"
The Data Engineer will also contribute to overall big data platform development. Perform adhoc data analysis, data processing, data visualization using SQL and..."
124 reviews,Data Engineer,Software Engineer - Analytics Cloud,,"
Salesforce Analytics allow our users to perform powerful data analysis on their data. Most conventional business analytics products are not real time, they..."
2 reviews,Data Engineer,Associate Data Engineer,,"
Data ETL pipelines. The Climate Corporation is looking for a talented and motivated data engineer with solid computer science and programming fundamentals to..."
101 reviews,Data Engineer,Software Engineer - Data Engineer,,"
Build data expertise and own data quality for the pipelinesBuild and launch new data models that provide intuitive analytics to your customersDesign, build and..."
,Data Engineer,Data Engineer,,"
Are you interested in data analysis, data science, data exploration? In this role, you are expected to be comfortable working as a data engineer and dealing..."
"2,661 reviews",Data Engineer,Data Engineer,,"
At least 3 years in coding in data management, data warehousing or unstructured data environments. You will build data pipeline frameworks to automate high..."
6 reviews,Data Engineer,Database Engineer,"San Mateo, CA","Data Warehousing exposure. Experience optimizing data models and database schemas, and SQL for distributed applications...."
6 reviews,Data Engineer,Software Engineer - Analytics,"San Mateo, CA",To be working in a team of smart/talented engineers who are building a big data platform that will be scalable in to the petabytes of data....
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
2 reviews,Data Engineer,Big Data Software Engineer - Hedge Funds,"San Francisco Bay Area, CA","Big Data Software Engineer - Hedge Funds - trading, portfolio management and analytics platform. We are seeking talented senior level software engineers to join..."
31 reviews,Data Engineer,"Senior Software Engineer - Search Platform (Java, Solr, Lucene)","San Francisco, CA","Exposure to big data systems for large scale data processing like Hadoop, Hive, MapReduce, Spark and NoSQL data stores like Cassandra/HBase, Redis, will be a..."
,Data Engineer,Senior Big Data Engineer,,"
Senior Big Data Engineer*. Perform adhoc data analysis, data processing, data visualization using SQL and other scripts...."
,Data Engineer,Data Analytics Engineer,,"
Solid foundation in data structures, algorithms and software design. Help build our scalable, back-end services to process, analyze and act on an enormous..."
101 reviews,Data Engineer,Software Engineer - Back End (Trip Experience),,"
-- Backend Engineer ---As a backend engineer on the Trip Experience team, you will work on core systems powering the Uber experience...."
,Data Engineer,Data Engineer,,"
Our data pipeline extracts data from S3, transform it in Ruby. Engineers to help expand our data processing capabilities as Kongregate continues to grow...."
,Data Engineer,Data Engineer,,"
Summit Public Schools is seeking an experienced Data Engineer. Maintain and update data refresh/integration catalogue...."
2 reviews,Data Engineer,Software Engineer,,"
Familiarity with high-dimensional search data structures. We're hoping you have the chops to analyze and leverage this data to introduce improvements and..."
,Data Engineer,Data Engineer,,"
Design and implement scalable Data Pipelines and Data Storage Strategies. If you’re passionate about big data and data-driven engineering, curious about any..."
57 reviews,Data Engineer,High Performance Data Analytics Engineer,,"
The Data and Analytics Services (DAS) Group at NERSC is looking for a high performance data analytics engineer to enable and optimize data intensive scientific..."
,Data Engineer,Data Engineer - Machine Learning Infrastructure,,"
Slice is looking for a Data Engineer to join our Machine Learning Engineering Team. To make the world’s highest fidelity commerce data actionable...."
124 reviews,Data Engineer,"Infrastructure Engineer - Diagnostics, Visibility, and Analy...",,"
Infrastructure Engineer - DVA. Experience in systems/infrastructure engineering in large scale Linux/UNIX data centers...."
3 reviews,Data Engineer,Backend Engineer - Unity Ads,"San Francisco, CA",Ensure service scalability through effective code and data storage design. Understanding of how different data storage engines work and what are the limitations...
254 reviews,Data Engineer,BI Developer/Data Visualization Engineer,"Pleasanton, CA","Develop rich interactive graphics, data visualizations of ""large"" amount of structured data, preferably in-browser...."
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
9 reviews,Data Engineer,"Solutions Engineer - San Francisco, CA","San Francisco, CA",Solutions Engineer - Field/Enterprise North American Team - San Francisco. Dyn is seeking an experienced Field Sales Engineer or a Solutions Architect with well...
31 reviews,Data Engineer,Big Data Engineer/ Senior Data Engineer,"San Francisco, CA",Big Data team is looking for an experienced Data Engineer who has a passion to build data products and data systems....
,Data Engineer,Full Stack Engineer - Data Platform,,"
A risk-taking software engineer who can take initiative and think creatively to solve complex data problems. Our software uses machine learning to identify new..."
10 reviews,Data Engineer,Big Data Engineer,,"
Lending Club's Data Architecture group is responsible for the strategic architecture and deployment of the data infrastructure ecosystems...."
10 reviews,Data Engineer,Data Engineer,,"
We’re looking for talented Data Engineers who will join our growing Data Technology team. Data analysis, mapping, and modeling...."
,Data Engineer,Software Engineer - Data,,"
Being an engineer means:. Experience with Redshift or similar data warehouse systems. Experience with monitoring, backup, and disaster recovery of data systems...."
,Data Engineer,Big Data Engineer,,"
OpenDNS is looking for smart, agile, enthusiastic engineers with a background in big data technologies, and a passion for delivering performant data analysis...."
,Data Engineer,Data Engineer,,"
Create new data processing systems as necessary. Solid foundation in computer science, with strong competencies in data structures, algorithms and software..."
